date,btc_price_usd_open,btc_price_usd_high,btc_price_usd_low,btc_price_usd_close,btc_open_interest,btc_funding_rates,eth_price_usd_open,eth_price_usd_high,eth_price_usd_low,eth_price_usd_close,eth_open_interest,eth_funding_rates,btc_mpi,btc_estimated_leverage_ratio,btc_stablecoin_supply_ratio,btc_reserve,btc_reserve_usd,btc_netflow_total,eth_reserve,eth_reserve_usd,eth_netflow_total
4/15/2021,62961.87833,63811.23833,62028.13667,63179.74167,9149587238,0.05840615,2432.72,2544.486667,2398.811667,2515.175,2877427321,0.08733628,-0.222988007,0.15259212,29.06359111,2388052.596,1.50877E+11,-4336.979723,20492617.59,51542519457,12540.84818
4/14/2021,63585.08833,64865.155,61302.365,62963.69,9226794298,0.07537128,2299.65,2446.585,2281.571667,2432.788333,2873425996,0.11538302,-0.079916274,0.1548733,29.16384569,2392389.575,1.50634E+11,11748.0724,20480076.75,49823691773,30992.11032
4/13/2021,59850.72833,63763.61167,59803.975,63583.96833,9352265371,0.10872432,2137.493333,2316.763333,2135.883333,2299.66,2721429981,0.12841098,-0.272906991,0.15590651,29.9614346,2380641.503,1.51371E+11,3583.175232,20449084.64,47025941973,-56910.44043
4/12/2021,59997.82333,61254.48167,59388.87667,59851.41,8627149046,0.10039553,2151.096667,2200.98,2101.701667,2137.481667,2565170092,0.13265972,-0.140836587,0.15316878,28.24189075,2377058.328,1.4227E+11,1789.214047,20505995.08,43831188531,-103846.2689
4/11/2021,59774.975,60697.9,59208.92167,59997.77833,8245752244,0.09950476,2133.878333,2164.695,2113.426667,2151.086667,2517051453,0.10932835,-0.569283671,0.14642212,28.22625059,2375269.114,1.42511E+11,-11424.4502,20609841.34,44333554919,88451.30627
4/10/2021,58132.74,61308.24833,57891.83333,59774.455,8079778430,0.12518097,2066.841667,2197.676667,2057.808333,2133.695,2520080886,0.16454334,0.458682659,0.14350181,28.2056982,2386693.564,1.42663E+11,15174.72255,20521390.04,43786387318,-18817.09889
4/9/2021,58086.03667,58906.11333,57665.68667,58131.905,7671496267,0.02562823,2080.64,2101.085,2049.395,2066.785,2393416731,0.05705976,0.289534122,0.1414658,27.49435042,2371518.841,1.37861E+11,3010.177654,20540207.14,42452192008,13354.01154
4/8/2021,55952.4,58159.10167,55695.495,58086.67667,7736910444,0.02211248,1963.496667,2084.693333,1947.576667,2080.706667,2514006232,0.04174288,-0.329339171,0.14464297,27.71947651,2368508.664,1.37579E+11,-1704.139186,20526853.13,42710360145,19669.69247
4/7/2021,58001.85333,58659.125,55466.12333,55951.75167,7887269612,0.03490859,2112.681667,2129.096667,1930.221667,1963.363333,2557465875,0.04294227,0.021715433,0.15331456,26.81179412,2370212.803,1.32618E+11,-6140.764473,20507183.43,40263052023,-37940.17891
4/6/2021,59168.835,59492.25,57400.33667,58000.88833,8219164105,0.10611631,2109.823333,2151.115,2044.955,2112.47,2688484134,0.11853062,-0.279206727,0.15458791,28.10316611,2376353.567,1.37831E+11,-12585.14162,20545123.61,43400957277,-70704.94281
